id,company_id,balance,total_purchased,total_used,seats,seats_used,free_conversations,plan_tier_id,current_period_start,current_period_end,last_reset_at,last_processed_at,version,free_tier_allowances,created_at,updated_at,exceeded_free_tier,paid_conversations,free_tier_usage_pct
01KF3F03FPK7SR3K4DW6XKHWW0,3305,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-16 13:12:59","2026-01-16 13:14:43",0,0,0.00
01KF3ERY3QVCE2KF0HG2B8RW8Z,3304,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-16 13:09:04","2026-01-16 13:09:04",0,0,0.00
01KF326DC3FSZW2NW1AVK1R22X,3303,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-16 09:29:14","2026-01-16 09:29:14",0,0,0.00
01KF1SQP6GDP7H1W7CZFES1QB0,3298,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 21:42:09","2026-01-15 21:42:09",0,0,0.00
01KF1GA16B732QHT4Z20BF07Q4,3297,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 18:57:24","2026-01-15 18:57:24",0,0,0.00
01KF1FG2FGX7BP15SA9KFB3BKV,3296,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 18:43:14","2026-01-15 18:43:14",0,0,0.00
01KF1ANB1MHXGG45T0ZT2KHRNV,3295,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 17:18:43","2026-01-15 17:18:43",0,0,0.00
01KF16S6V2QV3Q5GJ1ABDN9ECV,3294,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 16:10:56","2026-01-15 16:10:56",0,0,0.00
01KF16GDT3PTS071K238BP6JC2,3293,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 16:06:08","2026-01-15 16:06:08",0,0,0.00
01KF13BDWSMB7Z6FNGEZKTCAH0,3292,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 15:10:58","2026-01-15 15:10:58",0,0,0.00
01KEZXMWCEGT4ESX5DRXHQ24CV,3291,0.0000,0.0000,0.0000,0,0,48,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 04:12:02","2026-01-16 06:31:14",0,0,0.00
01KEZSDEBB5MFHB1E2V6PW809H,3290,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-15 02:58:04","2026-01-15 02:58:04",0,0,0.00
01KEZ3C7ARAZFZ6FJ72NRFP2TP,3287,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 20:32:56","2026-01-14 20:33:49",0,0,0.00
01KEZ1HP0ZAFVBR9R9T4FPQ0FH,3286,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 20:00:57","2026-01-14 20:00:57",0,0,0.00
01KEYZ6W1BT66G76WXKCQ81ARR,3284,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 19:20:06","2026-01-14 19:20:06",0,0,0.00
01KEYCAPYDA3WPRNQCZKT8WW1N,3281,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 13:50:09","2026-01-14 13:50:09",0,0,0.00
01KEYATAFRSBFBS42WSR6ASV8Z,3280,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 13:23:43","2026-01-14 13:23:43",0,0,0.00
01KEX3J0J2ZQQM3AJGB5GJS8QP,3279,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-14 01:57:36","2026-01-14 01:57:36",0,0,0.00
01KEWVXWTMTNHYE1RGVNFG207J,3278,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 23:44:17","2026-01-13 23:45:05",0,0,0.00
01KEWVDF0M803CY2KM15ZJKCFC,3277,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 23:35:19","2026-01-13 23:35:19",0,0,0.00
01KEW57HM9508GZ2VF3FNGHCEG,3276,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 17:07:36","2026-01-13 17:07:36",0,0,0.00
01KEW4KVMQ4G6PZ0XRZKTWSNQR,3275,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 16:56:51","2026-01-13 17:28:19",0,0,0.00
01KEVW2CZN58BQV1GE6GBDTP8Z,3274,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 14:27:30","2026-01-13 14:27:30",0,0,0.00
01KEVPVTB58N0W0KKWKXDBYWHW,3273,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 12:56:32","2026-01-13 12:56:32",0,0,0.00
01KETJ1HB2WWJWPAXGQJDEP5SN,3272,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-13 02:13:02","2026-01-13 02:13:53",0,0,0.00
01KET9ES9MY5MFYBVR7CBWFBGF,3271,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-12 23:42:59","2026-01-12 23:42:59",0,0,0.00
01KET7T861JHB798VF4H6J3APD,3270,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-12 23:14:17","2026-01-12 23:14:17",0,0,0.00
01KESVHARMWWXB6KVY9GE657AF,3268,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-12 19:39:42","2026-01-12 19:39:42",0,0,0.00
01KEPZTR7D2NVX5E10J4N9FAZ0,3267,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-11 16:57:02","2026-01-11 16:57:02",0,0,0.00
01KEN34FHXHCGG2XQMSMGPCAB8,3266,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-10 23:16:18","2026-01-10 23:16:18",0,0,0.00
01KEK3K4T16DB78XM8BZ33M68Y,3265,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-10 04:45:49","2026-01-10 04:45:49",0,0,0.00
01KEJR9881BFKNG9G28NT490SB,3264,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-10 01:28:11","2026-01-10 01:28:11",0,0,0.00
01KEJNETW7ATJA61RFZ3F97HE2,3263,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-10 00:38:48","2026-01-10 00:38:48",0,0,0.00
01KEHXC1ZETJ4BSKN1JEHATZH8,3261,0.0000,0.0000,0.0000,1,1,46,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 17:37:51","2026-01-16 06:31:11",0,0,0.00
01KEHV8G9VY6W9BTGA8N7XH4EK,3260,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 17:00:58","2026-01-09 17:00:58",0,0,0.00
01KEHTJSBD641BFMCCMZQ2F6D8,3259,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 16:49:06","2026-01-09 16:49:14",0,0,0.00
01KEHRVA3C76K6AED4815TBFV6,3256,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 16:18:48","2026-01-09 16:18:48",0,0,0.00
01KEHNVJTHDTXKX2EFPETZXQQ7,3253,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 15:26:31","2026-01-09 15:26:31",0,0,0.00
01KEHMWSS5FHKGDXPK6X14YDTS,3252,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-09 15:09:43","2026-01-09 15:09:43",0,0,0.00
01KEFXRZKYSKMMH8783E68XFSX,3250,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 23:06:26","2026-01-08 23:35:36",0,0,0.00
01KEFS6ADM4WMA0J7HSVS0WGET,3249,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 21:46:20","2026-01-08 21:48:59",0,0,0.00
01KEFR3NJABT37S9YXGKHE5AJQ,3248,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 21:27:25","2026-01-08 21:28:14",0,0,0.00
01KEFPSJ7ZETY6C2ZQ83QCFAQ2,3245,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 21:04:25","2026-01-08 21:06:08",0,0,0.00
01KEFNDQRZVJWGKWPFR3G4REYP,3244,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 20:40:29","2026-01-08 20:42:18",0,0,0.00
01KEFMTQAGTBXFTQFXE92K1G2R,3243,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 20:30:06","2026-01-08 20:31:27",0,0,0.00
01KEFKT4RZXPZE09H8WSZH4E6B,3241,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 20:12:18","2026-01-08 20:13:09",0,0,0.00
01KEFKNGNFF7YEMG86Q1916RZ3,3240,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 20:09:46","2026-01-08 20:09:56",0,0,0.00
01KEFCGV2JPCX1YH0M91KTEZD6,3239,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 18:04:53","2026-01-08 18:05:51",0,0,0.00
01KEFBP6KACZ6BBMBAZXT4H07G,3238,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 17:50:20","2026-01-08 17:50:20",0,0,0.00
01KEFAE6DCD2WB1RQC6C7MABZC,3237,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 17:28:29","2026-01-08 17:28:29",0,0,0.00
01KEF4T5HM4C7X7RHJS8AJ0TYX,3236,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 15:50:10","2026-01-08 15:50:10",0,0,0.00
01KEEZD1K1ET7HJX5P5HYQWP1G,3235,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF6YZ0DGCW2YMFF3CHCRD5J,3218,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF6ZQP6SSCTMWPW051MRDJS,3220,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF70QY5K9Y8GEZP09PR2NCJ,3222,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 18:44:40",0,0,0.00
01KEF71MT7D94N20PTDDXTBTMM,3225,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF72CF3S24NNV9HE4QG901K,3226,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF72WYT3885S2FAC0TBYMFJ,3227,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF73F9K8TTZ45KD0YV3KFEY,3231,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEF748PHGQMDQAZKGW98PHNB,3233,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 14:15:37","2026-01-08 14:15:37",0,0,0.00
01KEEK06ZD1PW3KVY55W9K4K8C,3234,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 10:38:54","2026-01-08 10:40:32",0,0,0.00
01KEE9DMZHDHC99JZVX91RJFNC,3232,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 07:51:29","2026-01-08 07:52:26",0,0,0.00
01KEDJK82SVXHVNBBPAX471RQ4,3230,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-08 01:12:35","2026-01-08 01:12:35",0,0,0.00
01KEDCDGD4P2QTW2KDD3BD80CX,3229,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 23:24:35","2026-01-07 23:24:35",0,0,0.00
01KED79R4M4RK3EYE3MQ9D1NK4,3228,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 21:55:09","2026-01-07 21:55:27",0,0,0.00
01KECSE68P1J2PW64WGRYNAGY9,3224,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 17:52:55","2026-01-07 17:52:55",0,0,0.00
01KECZ0CMWC01Z66RKZZSQYM09,3215,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 17:52:55","2026-01-08 14:40:06",0,0,0.00
01KECMXZ1ZB6DWK124B8N351QX,3223,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 16:34:09","2026-01-07 16:39:05",0,0,0.00
01KECK3FHSCRR4DSXXGZESDH4W,3221,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 16:02:12","2026-01-07 16:02:43",0,0,0.00
01KECH16WT4VS3TMHE1QKWZEFB,3219,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 15:26:01","2026-01-07 15:26:09",0,0,0.00
01KECGTAHV9GSM27X8YF5C782Z,3217,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 15:22:15","2026-01-07 15:22:15",0,0,0.00
01KECGNCGPSF8BFXR7ZTPAD80B,3216,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 15:19:33","2026-01-07 15:19:33",0,0,0.00
01KECCYX2XRAFCNTGNV0V26EY1,3214,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 14:14:51","2026-01-07 14:14:51",0,0,0.00
01KECCKNKVMFDVB7RFK9S0D3AP,3213,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 14:08:43","2026-01-07 14:08:54",0,0,0.00
01KEC9894G8KSAS7W94F2G1J3D,3212,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-07 13:10:04","2026-01-07 13:10:04",0,0,0.00
01KEAPZ126PXK5CXD3BRVDJNTA,3211,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 22:31:12","2026-01-06 22:31:12",0,0,0.00
01KEAJZ5RXSM63K4R72MNXE57J,3210,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 21:21:22","2026-01-06 21:21:22",0,0,0.00
01KEAH5VYJFYDGAB58V7AGCDWZ,3209,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 20:50:04","2026-01-06 20:50:04",0,0,0.00
01KEAFN4AJXHBMZQ4G588Z5YTY,3208,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 20:23:27","2026-01-06 20:23:27",0,0,0.00
01KEA5MHCGPZ04VNSJMXM3JJYK,3207,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 17:28:22","2026-01-06 17:28:22",0,0,0.00
01KEA5F4AN0B3N79ZDWJZ7STE3,3206,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 17:25:25","2026-01-06 17:25:25",0,0,0.00
01KE9QZT9FCGXHH3RKP6H6Q6PD,3204,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-06 13:29:52","2026-01-06 13:29:52",0,0,0.00
01KE87CQ2BSQWZJ6EF6Y8M4B26,3203,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 23:20:34","2026-01-05 23:20:34",0,0,0.00
01KE82HD70JAAHM8883VKDZ1GH,3202,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 21:55:45","2026-01-05 21:56:35",0,0,0.00
01KE815CBVDCTTES2G2WQPJN8Z,3201,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 21:31:42","2026-01-05 21:31:42",0,0,0.00
01KE7ZHXYW0S4GRMD2CCJ8YPJ0,3200,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 21:03:36","2026-01-05 21:03:36",0,0,0.00
01KE7YHYB8CWWF1YQDSD5KQ6PQ,3199,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 20:46:08","2026-01-05 20:46:08",0,0,0.00
01KE7RCKYTTZJ2Y51BJRZCEWDW,3198,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 18:58:22","2026-01-05 18:58:22",0,0,0.00
01KE7QXJPMSX2A6DFAC75AD0H4,3197,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 18:50:10","2026-01-05 18:50:10",0,0,0.00
01KE7QK21H7PDMH9CC5FW76Z5X,3196,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 18:44:25","2026-01-05 18:44:25",0,0,0.00
01KE7M5JZCR0N35Y2BG7TRT4Q7,3195,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 17:44:38","2026-01-05 17:44:38",0,0,0.00
01KE7M0RGH0S1M8HZSX7N3PY4F,3194,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 17:41:59","2026-01-05 17:41:59",0,0,0.00
01KE7KZC3KG2RM39CC29R257WN,3193,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 17:41:14","2026-01-05 17:41:14",0,0,0.00
01KE7K265BAYEBEG9VRGNGQ4X4,3192,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 17:25:18","2026-01-05 17:25:27",0,0,0.00
01KE7EZ8WMK6QSS9KYRB9AK3FC,3191,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 16:13:48","2026-01-05 16:13:48",0,0,0.00
01KE7ECCH1CGNDGEDASE61RT4N,3190,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 16:03:29","2026-01-05 16:03:29",0,0,0.00
01KE78CWX9VDSMWTKHHBP7GPN6,3189,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-05 14:18:54","2026-01-05 14:19:28",0,0,0.00
01KE5FSXWPKMRVBTEQVXNNHB17,3187,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-04 21:49:52","2026-01-04 21:49:52",0,0,0.00
01KE468EE9BC4NP3VJESSKFST8,3186,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-04 09:43:48","2026-01-04 09:43:48",0,0,0.00
01KE464CM0XMA5W7Y3T819DNCV,3185,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-04 09:41:35","2026-01-04 09:41:35",0,0,0.00
01KE3MB8QQEKGX9ZSC95XPPH78,3184,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-04 04:30:46","2026-01-04 04:31:02",0,0,0.00
01KE36GJETTTEG59PQVN96CYSR,3183,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-04 00:29:00","2026-01-04 00:29:00",0,0,0.00
01KE2EE9HA0A7A4XVH9NA9BKPA,3182,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2026-01-03 17:28:19","2026-01-03 17:28:40",0,0,0.00
